tipooperador,empresabandera,razonsocial,cuit,direccion,localidad,provincia,Longitude,Latitude
Sólo GNC,BLANCA,RUTA 9 GNC S.A.,30-70873905-3,AV. LIBERTAD 7402,MAR DEL PLATA,BUENOS AIRES,-57.590913,-37.969368
Duales (líquidos + GNC),SHELL C.A.P.S.A.,FLAGOR SA,30-70738475-8,MARCELO T. DE ALVEAR 4394,CIUDADELA,BUENOS AIRES,-58.558099,-34.624012
Combustibles líquidos únicamente,AXION,CRESPO SERVICIOS S.R.L.,30-70872060-3,JUAN DE GARAY 89,GDOR. CRESPO,SANTA FE,-60.3996,-30.36854
Duales (líquidos + GNC),AXION,ARUANNO-SALERNO S.H.,30-61585234-8,SARMIENTO 10,CIPOLLETTI,RIO NEGRO,-67.99437,-38.94167
Duales (líquidos + GNC),AXION,ARUANNO-SALERNO S.H.,30-61585234-8,MARIANO MORENO Nº 402,CIPOLLETTI,RIO NEGRO,-68.00818,-38.93242
Combustibles líquidos únicamente,BLANCA,COOPERATIVA AGRICOLA DE GODOY LTDA.,30-52532809-7,MITRE 977,GODOY,SANTA FE,-60.51069,-33.36856
Sólo GNC,BLANCA,VALENCIA & CUYO S.A.,30-70894189-8,ACCESO ESTE E ISIDRO MAZA,BELTRAN,MENDOZA,-68.665533,-32.989737
Duales (líquidos + GNC),YPF,OPESSA,30-67877449-5,BANDERA DE LOS ANDES 6702,GUAYMALLEN,MENDOZA,-68.73567,-32.92741
Sólo GNC,BLANCA,CENTRO DE SERVICIOS TEODELINA SRL,30-70831101-0,RUTA PCIAL. 94 S/N,TEODELINA,SANTA FE,-61.52419,-34.176406
Duales (líquidos + GNC),REFINOR,NORGAS S.R.L.,30-70848992-8,AV. J.B. ANDRIANO Y RUTA NACIONAL Nº 34,TARTAGAL,SALTA,-63.80293,-22.54182
Combustibles líquidos únicamente,AXION,LOGIOCO JOSE LUIS,20-05055446-6,AV. SAN MARTIN ESQ. N.L. ROBBIO,9 DE JULIO,BUENOS AIRES,-60.887247,-35.444251
Combustibles líquidos únicamente,DAPSA S.A.,ESTACION DE SEVICIOS SAN JORGE,20-14767138-6,BARCELO 315,BANFIELD,BUENOS AIRES,-58.365848,-34.74699
Sólo GNC,BLANCA,CENTRO INTEGRAL GNC S.A.,30-70780502-8,PTE. PERON 925,SAN NICOLAS,BUENOS AIRES,-60.231569,-33.345325
Combustibles líquidos únicamente,PUMA,AGROENERGIA S.H. DE LAPACO MAURO Y SPEIER MARCOS,30-70912599-7,9 DE JULIO 179,SANTA ROSA,LA PAMPA,-64.2936,-36.62007
Combustibles líquidos únicamente,YPF,9 DE JULIO SERVICIOS SRL,30-70901115-0,9 DE JULIO 560,CONCEPCION DEL URUGUAY,ENTRE RIOS,-58.23017,-32.48409
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,BELGRANO COMBUSTIBLES SRL,30-70923071-5,LOMBARDO E IRIGOYEN,GRAL. BELGRANO,BUENOS AIRES,-58.4968,-35.77177
Combustibles líquidos únicamente,AXION,BORTOLON Y URQUIZA COMBUSTIBLES S.R.L.,30-70907282-6,25 DE MAYO ESQ. PASAJE COLON,PORTEÑA,CORDOBA,-62.06707,-31.01007
Duales (líquidos + GNC),SHELL C.A.P.S.A.,CENTRO BEBIDAS SRL,30-69887189-6,MAESTRO VIDAL 1687,CORDOBA,CORDOBA,-64.229577,-31.428441
Combustibles líquidos únicamente,YPF,"GARCIA LILIAN BEATRIZ, GARCIA ANA MARIA, GAUTO ARGUELLO FULVIA LIDUVINA S.H.",30-70828239-8,Teniente del castillo 350,RIO TURBIO,SANTA CRUZ,-72.33384,-51.53624
Combustibles líquidos únicamente,YPF,OPESSA,30-67877449-5,AV. RECTA MARTINOLI Y TICHO BRAHE,VILLA BELGRANO,CORDOBA,-64.25164,-31.3503
Duales (líquidos + GNC),YPF,OPESSA,30-67877449-5,AV. BELGRANO 3201 Y BULNES,S.M. DE TUCUMAN,TUCUMAN,-65.2424,-26.81032
Duales (líquidos + GNC),SHELL C.A.P.S.A.,LA CASCADA S.A.,30-70867056-8,AV.BELGRANO (NORTE) 1995,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,-64.28732,-27.76451
Combustibles líquidos únicamente,YPF,GNC GERLI S.R.L.,30-70853443-5,HIPOLITO IRIGOYEN 2298,GERLI,BUENOS AIRES,-58.385979,-34.684504
Duales (líquidos + GNC),SHELL C.A.P.S.A.,GNC TROPEZON S.R.L.,30-70905059-8,AVDA PRIMERO DE MAYO 5710,SAN MARTIN,BUENOS AIRES,-58.555146,-34.58897
Sólo GNC,BLANCA,COMBUSTIBLES ECOLOGICOS S.A.,30-70758205-3,CHACABUCO 1013,SAN MIGUEL DE TUCUMAN,TUCUMAN,-65.211238,-26.844093
Sólo GNC,BLANCA,GARHER S.A.,30-70837455-1,AV. COLON 698,SAN MIGUEL DE TUCUMAN,TUCUMAN,-65.23434,-26.834384
Sólo GNC,BLANCA,GNC LA ESTACION S.A.,30-70872816-7,AV. CHIESA 442,LONGCHAMPS,BUENOS AIRES,-58.387105,-34.855646
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,LA COLONIA S.A.,30-68449078-4,BELGRANO Y LAS HERAS,NEUQUEN,NEUQUEN,-68.074734,-38.950873
Duales (líquidos + GNC),PUMA,CEIL COMPAÑIA IMPORTADORA Y EXPORTADORA SA,30-70746078-0,DR. CASILLAS 650,CHAJARI,ENTRE RIOS,-58.006037,-30.76103
Combustibles líquidos únicamente,YPF,ALLUB HERMANOS SRL,30-52765133-2,Pirovano 52,SAN MARTIN,MENDOZA,-68.46531,-33.08622
Duales (líquidos + GNC),YPF,OPESSA,30-67877449-5,RUTA 205 KM 182 Y FROCHAM,SALADILLO,BUENOS AIRES,-59.77806,-35.62447
Duales (líquidos + GNC),PUMA,GASALE S.R.L.,30-70903773-7,Av. DON BOSCO 1310,RAMOS MEJIA,BUENOS AIRES,-58.579041,-34.648702
Combustibles líquidos únicamente,YPF,OPESSA,30-67877449-5,AV. 12 DE OCTUBRE Y OTTO G. 0,SAN CARLOS DE BARILOCHE,RIO NEGRO,-71.29829,-41.13265
Duales (líquidos + GNC),YPF,FUENTEDE S.R.L.,30-70929489-6,GASPAR CAMPOS 3810,SAN MIGUEL,BUENOS AIRES,-58.73036,-34.54481
Combustibles líquidos únicamente,BLANCA,PARADOR RUTA 88 SRL,30-69736023-5,RUTA 88 KM 125,QUEQUEN,BUENOS AIRES,-58.6811,-38.54162
Combustibles líquidos únicamente,BLANCA,"ARRATE, JOSE LUIS",20-13207323-7,Almirante Brown 1550,QUEQUEN,BUENOS AIRES,-58.702313,-38.564886
Duales (líquidos + GNC),BLANCA,SENA HUMBERTO FABRICIO,20-22562563-9,AV 11 DE SETIEMBRE 2910,CORDOBA,CORDOBA,-64.148648,-31.445558
Combustibles líquidos únicamente,BLANCA,ESTACION DE SERVICIO TERMINAL S.A.,30-70900740-4,CALLE 63 N° 525,AZUL,BUENOS AIRES,-59.84295,-37.79091
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,DULSAN JUAN CARLOS,20-08215624-1,Malinche Ruta 22 Km 997,CHOELE CHOEL,RIO NEGRO,-65.669799,-39.280259
Duales (líquidos + GNC),VOY,LA PICASA S.A.,30-70899784-2,CALLE COLECTORA DNV 243,CIPOLLETTI,RIO NEGRO,-68.009136,-38.942813
Sólo GNC,BLANCA,GENEMAX SRL,30-70907726-7,GRAL MADARIAGA 1305,LANUS,BUENOS AIRES,-58.375366,-34.70967
Combustibles líquidos únicamente,PUMA,GAS NATURAL COMPRIMIDO VILLA MARIA SA,30-64554426-5,RUTA NAC. 9 KM 552,VILLA MARIA,CORDOBA,-63.180742,-32.434925
Duales (líquidos + GNC),PUMA,GNC CAMPANA S.R.L.,30-70885485-5,Bvrd Gral Lavalle 876,CAMPANA,BUENOS AIRES,-58.971928,-34.172607
Sólo GNC,BLANCA,CENCONOR S.A.,30-65022506-2,PARDO 1150,MUÑIZ,BUENOS AIRES,-58.696988,-34.552921
Duales (líquidos + GNC),SHELL C.A.P.S.A.,G.N.C. MONTE GRANDE S.R.L.,30-70920822-1,CERVETTI 1090,E. ECHEVERRIA,BUENOS AIRES,-58.491998,-34.810832
Sólo GNC,BLANCA,ROTAL GNC,30-70727184-8,"RUTA PROVINCIAL Nº39 KM.59,5",ROSARIO DEL TALA,ENTRE RIOS,-59.145919,-32.31517
Combustibles líquidos únicamente,YPF,3GEN SA,30-71763679-8,AV. POLONIA NRO 1780,COMODORO RIVADAVIA,CHUBUT,-67.539653,-45.865547
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,AGROSERVICIOS LAS MARIA S.R.L.,30-70854068-0,AV. DE TOMASO 101,CHIVILCOY,BUENOS AIRES,-60.02831,-34.88935
Sólo GNC,BLANCA,LAEM S.R.L.,30-70877047-3,AV. 40 N° 435 ESQ. 7,MIRAMAR,BUENOS AIRES,-57.839583,-38.26034
Duales (líquidos + GNC),BLANCA,PLAZOLETA S.R.L.,30-70903601-3,URQUIZA 524,SAN SALVADOR DE JUJUY,JUJUY,-65.300431,-24.183333
Combustibles líquidos únicamente,AXION,CASALE ABEL Y CASALE LUIS SH,30-67346509-5,RUTA 7 KM. 695,VILLA MERCEDES,SAN LUIS,-65.45524,-33.64739
Combustibles líquidos únicamente,YPF,SERVI GAS S.R.L,30-69067051-4,AV. MORENO ESQ. AV KENEDY,SALTA,SALTA,-65.44944,-24.83838
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,SERVICENTRO MARCONI,30-70859268-0,AV.MARCONI 1051,RIO CUARTO,CORDOBA,-64.35401,-33.11246
Duales (líquidos + GNC),GULF,TREARIE S.A.,30-66780702-2,RUTA 11 Y AV. 26,LAS TONINAS,BUENOS AIRES,-56.710936,-36.489781
Duales (líquidos + GNC),YPF,OPESSA,30-67877449-5,H. YRIGOYEN 1067,AVELLANEDA,BUENOS AIRES,-58.38084,-34.66939
Combustibles líquidos únicamente,YPF,OPESSA,30-67877449-5,MAZZANTI Y MENDOZA,GOYA,CORRIENTES,-59.24453,-29.13705
Combustibles líquidos únicamente,YPF,PAGANI S.A.,30-70889818-6,AV. CARLOS YDE 1423 Y GRAL PAZ,VICUÑA MACKENNA,CORDOBA,-64.3924,-33.92476
Duales (líquidos + GNC),BLANCA,EL NENE S.A.,30-67112449-5,ACCESO GRAL. ARTIGAS Nº 2064,GUALEGUAYCHU,ENTRE RIOS,-58.536632,-33.02295
Duales (líquidos + GNC),SHELL C.A.P.S.A.,RINCON DE MILBERG S.R.L,30-70866649-8,AV.SANTA MARIA 2210,TIGRE,BUENOS AIRES,-58.59268,-34.42152
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,CRUDO ANGELA ELDA,27-04442658-2,AVDA. HERNAN APEZTEGUIA Y RUTA 75,SAN CAYETANO,BUENOS AIRES,-59.62595,-38.35972
Combustibles líquidos únicamente,PUMA,MATTEAZZI OYHENART CLAUDIA R,27-23240873-7,RUTA 152 Y ACCESO,GRAL. ACHA,LA PAMPA,-64.59834,-37.36621
Sólo GNC,BLANCA,AMADO MOHAMED FELIPE,20-07251079-9,AV. TTE. IBAÑEZ ESQ. RODRIGUEZ,GRAL. GUEMES,SALTA,-65.049105,-24.676583
Duales (líquidos + GNC),SHELL C.A.P.S.A.,ALBERDI 2299 SRL,33-70934480-9,AV. JUAN B. ALBERDI 2299,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.459995,-34.630529
Duales (líquidos + GNC),AXION,CRUCESITA S.A.,30-67820603-9,AV. MITRE 1290,AVELLANEDA,BUENOS AIRES,-58.359609,-34.665043
Combustibles líquidos únicamente,YPF,LAMBERTUCCI DAMIAN Y GERMAN,30-70928395-9,AVDA GRAL PAZ 770,MARCOS JUAREZ,CORDOBA,-62.10875,-32.70818
Duales (líquidos + GNC),SHELL C.A.P.S.A.,ARMENTI ALEJANDRO,20-27792200-3,CMO. GRAL. BELGRANO Y CANTILO,CITY BELL,BUENOS AIRES,-58.05385,-34.88148
Duales (líquidos + GNC),SHELL C.A.P.S.A.,ECONORTE SA,30-69935857-2,colectora este 2335,ESCOBAR,BUENOS AIRES,-58.750221,-34.380625
Combustibles líquidos únicamente,YPF,DON TITO SRL,30-70747522-2,HIPOLITO IRIGOYEN Y USPALLATA,MONTE CASEROS,CORRIENTES,-57.65562,-30.24644
Combustibles líquidos únicamente,BLANCA,ZARICH DIEGO HERNAN,20-23649735-7,RUTA PROV.13 KM 16,LOS CARDOS,SANTA FE,-61.63567,-32.32675
Combustibles líquidos únicamente,YPF,OPESSA LA RIOJA,30-67877449-5,RIVADAVIA Y BENJAMÍN DE LA VEGA,LA RIOJA,LA RIOJA,-66.85227,-29.4145
Duales (líquidos + GNC),YPF,CARLOS PESSI SRL (actual Grupo Norte SRL),30-67163768-9,Ameghino 1120,SANTA ROSA,LA PAMPA,-64.29572,-36.63156
Sólo GNC,BLANCA,WINKO S.A.,30-70862742-5,Pte. A. iLLIA  409,CONCORDIA,ENTRE RIOS,-58.035661,-31.390998
Sólo GNC,BLANCA,G N C DEL NORTE S A,30-70073670-5,AV. IGNACIO DE LA ROZA OESTE 580,RIVADAVIA,SAN JUAN,-68.567467,-31.539063
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,ROBERTO LUIS MARTINEZ,20-11795984-9,CRUCE DE RUTAS 35 Y RUTA 188 LADO ESTE,REALICO,LA PAMPA,-64.26315,-35.05475
Sólo GNC,BLANCA,FULL GNC S.R.L.,30-70854528-3,RUTA 251 KM 117,CONESA,RIO NEGRO,-64.46941,-40.09857
Sólo GNC,BLANCA,FULL GNC S.R.L.,30-70854528-3,RUTA NAC. N ° 251  ACCESO A SAN ANTONIO OESTE,SAN ANTONIO OESTE,RIO NEGRO,-65.006194,-40.730699
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,TEYTE S.A.,30-61413678-9,Av. Benito de Miguel 509,JUNIN,BUENOS AIRES,-60.956531,-34.597426
Combustibles líquidos únicamente,BLANCA,COOPERATIVA LA GANADERA GRAL. RAMIREZ LTDA.,33-53332811-9,TRATADO DEL PILAR 546,HASENKAMP,ENTRE RIOS,-59.8406,-31.5089
Combustibles líquidos únicamente,DAPSA S.A.,TRIULZI ABEL BASILIO NARCISO,20-06626840-4,AV SABATTINI E ING. PIZARRO,RIO CUARTO,CORDOBA,-64.35806,-33.15008
Combustibles líquidos únicamente,YPF,IGNIS SRL,30-70840278-4,VIAMONTE ESQ LARREA CHACRAS DE CORIA,LUJAN DE CUYO,MENDOZA,-68.88439,-32.98828
Duales (líquidos + GNC),REFINOR,GAR S.A.,30-67540567-7,AVDA RIVADAVIA Y MUÑECAS,ALDERETES,TUCUMAN,-65.14284,-26.81619
Combustibles líquidos únicamente,YPF,ARAMENDI JUAN RAMON,20-12175732-0,SAN EDUARDO 21,O' BRIEN,BUENOS AIRES,-60.759118,-34.903162
Combustibles líquidos únicamente,BLANCA,DANIEL ANIBAL PELLEGRINI,20-11418035-2,25 de Mayo 1000,SANTA ISABEL,SANTA FE,-61.69355,-33.885614
Duales (líquidos + GNC),BLANCA,SOUTH ENERGY SRL,30-70882703-3,VENEZUELA 5596,ISIDRO CASANOVA,BUENOS AIRES,-58.59978,-34.69202
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,SERVICIOS RUTA 21 SRL,30-70862498-1,Ruta Prov. 21 283,PUEBLO ESTHER,SANTA FE,-60.567954,-33.087833
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,ERICH WAGNER Y CIA. SRL,30-70947429-0,SAN MARTÍN 1398,CRESPO,ENTRE RIOS,-60.31093,-32.03378
Sólo GNC,BLANCA,DEL VALLE GNC SRL,30-69427178-9,AV. SPINETTO 860,SANTA ROSA,LA PAMPA,-64.280995,-36.608655
Duales (líquidos + GNC),YPF,SERVICIOS JYF SA,30-70926917-4,remedios escalada 3350,GUAYMALLEN,MENDOZA,-68.83679,-32.92569
Sólo GNC,BLANCA,MANESA S.A.,30-70788022-4,RUTA 36 KM. 30.5,BOSQUES,BUENOS AIRES,-58.219801,-34.828501
Combustibles líquidos únicamente,PUMA,;EL LUCERO DE TANDIL S.R.L.,33-66727301-9,J.C.PUGLIESE 997  Y AV. ESPORA,TANDIL,BUENOS AIRES,-59.114254,-37.312441
Sólo GNC,DAPSA S.A.,MULTIGAS S.R.L.,30-70932348-9,AV. BELGRANO N° 3596,SAN MIGUEL DE TUCUMAN,TUCUMAN,-65.24794,-26.80958
Duales (líquidos + GNC),BLANCA,SEFAC PEHUAJO S.A.,30-70806364-5,RUTA NC. NRO.5 KM 368.5,PEHUAJO,BUENOS AIRES,-61.90913,-35.84771
Combustibles líquidos únicamente,BLANCA,SOCIEDAD COOPERATIVA AGROPECUARIA DE ALMAFUERTE LTDA.,30-53355355-5,CAMINO PUBLICO EX IPEA KM 0,ALMAFUERTE,CORDOBA,-64.246777,-32.199813
Combustibles líquidos únicamente,BLANCA,GUIFFRE RAUL OSCAR,20-16163943-6,Ruta Nac. N° 14 153,SAN JOSE,ENTRE RIOS,-58.235983,-32.241159
Sólo GNC,BLANCA,LA RED SRL,30-70959554-3,RUTA 7 KM 955,LAS CATITAS,MENDOZA,-68.04881,-33.28599
Combustibles líquidos únicamente,PUMA,COMBUSTIBLES SANTO TOMAS S.R.L.,30-70910231-8,SAN MARTIN Y ROCA 915,SANTO TOME,CORRIENTES,-56.04113,-28.54795
Combustibles líquidos únicamente,YPF,OPESSA MORENO,30-67877449-5,DIAGONAL NORTE Y ACCESO OESTE,MORENO,BUENOS AIRES,-58.79163,-34.63322
Combustibles líquidos únicamente,YPF,OPESSA BANCALARI,30-67877449-5,"RUTA 9 PANAMERICANA KM 23,5",SAN ISIDRO,BUENOS AIRES,-58.59114,-34.48686
Combustibles líquidos únicamente,AXION,ESTACION DE SERVICIO DON CRUZ SCC,30-52231041-3,RUTA 7 Y RUTA 20,JUANA KOSLAY,SAN LUIS,-66.27564,-33.29718
Sólo GNC,AXION,GIANELLO GNC SH,33-70833679-9,LAVALLE 570,SAN LUIS,SAN LUIS,-66.332933,-33.298795
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,ESTACION PARANA SRL,30-70799126-3,AV.SUCRE 2780,BECCAR,BUENOS AIRES,-58.555797,-34.472458
Sólo GNC,BLANCA,SION SRL,33-70763598-9,AVDA. EXODO ESQ. SAN JOSE-CIUDAD PERICO s/n,PERICO,JUJUY,-65.119355,-24.378323
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,ESTACION PARANA SRL,30-70799126-3,AV.CAZON 1392,TIGRE,BUENOS AIRES,-58.578514,-34.424571
Combustibles líquidos únicamente,BLANCA,NESTOR Y NESTOR AMBROGIO S.H.,30-71507303-6,BV. GARAY Y RUTA PROV. N* 91,TOTORAS,SANTA FE,-61.15753,-32.58053
Duales (líquidos + GNC),YPF,WIND SA,30-70896499-5,San Martin 75,LAS HERAS,MENDOZA,-68.83253,-32.8658
Duales (líquidos + GNC),AXION,ELI S.A.,30-68529905-0,AV. ALCORTA Y AV. ZEBALLOS,CASTELAR,BUENOS AIRES,-58.63557,-34.65942
Combustibles líquidos únicamente,YPF,AUTOMOVIL CLUB ARGENTINO,30-50014329-7,RUT NAC. 9 KM 419,TORTUGAS,SANTA FE,-61.83408,-32.73336
Combustibles líquidos únicamente,YPF,LAS AVENIDAS S.C.A.,30-51766991-8,31 Nº 966,LA PLATA,BUENOS AIRES,-57.9734,-34.93787
Sólo GNC,BLANCA,SOMAVILLA S.A.,30-70918082-3,General Hornos 2102,VILLA ALBERTINA,BUENOS AIRES,-58.434309,-34.705546
Combustibles líquidos únicamente,AXION,GASPAR BRANDEMANN S.R.L.,30-70922112-0,DIAGONAL 9 DE JULIO 1275,EDUARDO CASTEX,LA PAMPA,-64.30202,-35.91377
Sólo GNC,BLANCA,TRI-GAS S.A.,30-64300593-6,AV.R.DE ESCALADA DE S.MARTIN 2402,VALENTIN ALSINA,BUENOS AIRES,-58.40714,-34.677647
Combustibles líquidos únicamente,YPF,CENTRO COMBUSTIBLES S.R.L.,30-70938532-8,FISCHER 190,AMSTRONG,SANTA FE,-61.60598,-32.78428
Combustibles líquidos únicamente,YPF,NUEVO HORIZONTE S.R.L.,30-70719926-8,SAN MARTIN 950,QUITILIPI,CHACO,-60.21504,-26.86644
Sólo GNC,BLANCA,GNC DEL TAFI S.R.L.,30-70847690-7,TUCUMAN N° 181,TAFI VIEJO,TUCUMAN,-65.259063,-26.741412
Duales (líquidos + GNC),YPF,OPESSA ROSARIO URQUIZA,30-67877449-5,MITRE 502,ROSARIO,SANTA FE,-60.63895,-32.94298
Duales (líquidos + GNC),YPF,OPESSA BERISSO PUENTE ROMA,30-67877449-5,CALLE 2  Y 158,BERISSO,BUENOS AIRES,-57.89605,-34.87522
Sólo GNC,BLANCA,MER-GAS S.A.,30-64342883-7,av 40 y 113 s/n,MERCEDES,BUENOS AIRES,-59.410355,-34.648958
Sólo GNC,BLANCA,COOPERATIVA DE ELECTRICIDAD LTDA. DE PEDRO LURO,30-54573149-1,RUTA NACIONAL Nº 3 KM 806,PEDRO LURO,BUENOS AIRES,-62.668937,-39.501717
Duales (líquidos + GNC),PUMA,MARCELO GOTTIG Y CÍA. SOC. COL.,30-52113796-3,AV.MOSCONI 1373,DIAMANTE,ENTRE RIOS,-60.62411,-32.07453
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,GUATI S.R.L.,30-70869317-7,BV RONDEAU 2702,ROSARIO,SANTA FE,-60.693955,-32.888275
Duales (líquidos + GNC),YPF,HUGO ALBERTO MIGUEL,23-04985880-9,ARISTOBULO DEL VALLE 1217,LAS HERAS,MENDOZA,-68.7736,-32.8438
Combustibles líquidos únicamente,PUMA,KM711 SA,30-70901524-5,RUTA NAC.N°3 km 711,VILLARINO,BUENOS AIRES,-62.50134,-38.71116
Sólo GNC,BLANCA,GNC PLUS S.R.L.,30-70846633-2,AV. LAS AMERICAS Nº151,SAN MIGUEL DE TUCUMAN,TUCUMAN,-65.250216,-26.819192
Sólo GNC,BLANCA,ELUGAS S.A.,30-70939972-8,MONSEÑOR RODOLFO BUFANO 805,VILLA LUZURIAGA,BUENOS AIRES,-58.594979,-34.671391
Duales (líquidos + GNC),AXION,PROCOSUD S.A.,30-61658268-9,"Ruta 226 Km. 7,5",MAR DEL PLATA,BUENOS AIRES,-57.657223,-37.939611
Combustibles líquidos únicamente,AXION,ZONA CERO S.A,33-70824089-9,RIVADAVIA Nº 38,COMODORO RIVADAVIA,CHUBUT,-67.47497,-45.86224
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,HERSOL COMBUSTIBLES S.A.,33-70945463-9,Julio A. Roca 750,PERGAMINO,BUENOS AIRES,-60.57391,-33.89273
Combustibles líquidos únicamente,DAPSA S.A.,OBERTO HNOS. S.C.C,33-56350852-9,AV. DEL CINCUENTENARIO 99,HUANCHILLA,CORDOBA,-63.637532,-33.664613
Combustibles líquidos únicamente,BLANCA,OBERTO HNOS. S.C.C,33-56350852-9,PELLEGRINI 450,LABOULAYE,CORDOBA,-63.4014,-34.12666
Sólo GNC,BLANCA,BENVEPAZ S.A.,30-70893200-7,Dorrego 1733,VILLA CONSTITUCION,SANTA FE,-60.328513,-33.233096
Duales (líquidos + GNC),GULF,ZAYCO S.R.L.,30-70898012-5,AV. DE LOS CONSTITUYENTES 294,GRAL. PACHECO,BUENOS AIRES,-58.63821,-34.457973
Duales (líquidos + GNC),BLANCA,VILAXOAN  SRL,30-68495279-6,AV. LACAZE 5390,CLAYPOLE,BUENOS AIRES,-58.326628,-34.79938
Combustibles líquidos únicamente,PUMA,SAPEDA S.R.L,30-70918499-3,MITRE 1000,AZUL,BUENOS AIRES,-59.856351,-36.779264
Combustibles líquidos únicamente,BLANCA,SCHAFFNER CARLOS ALBERTO Y NESTOR RUBEN,30-70832066-4,MORENO 102,TORQUINST,BUENOS AIRES,-62.21819,-38.09943
Duales (líquidos + GNC),GULF,RIMAN CUYO S.A.,33-70707015-9,C.C.C. MONTECASEROS Y LATERAL ACCESO ESTE,SAN MARTIN,MENDOZA,-68.47812,-33.06562
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,LOS CUATRO CASAL S.R.L.,30-70953693-8,Ruta 210 20815,GLEW,BUENOS AIRES,-58.389851,-34.888057
Duales (líquidos + GNC),YPF,CASA ELICEIRY S.A.,30-70861333-5,RUTA 2 KM 182,CASTELLI,BUENOS AIRES,-57.811034,-36.0947
Duales (líquidos + GNC),YPF,VALLE FULL S.R.L,30-70946463-5,RUTA 250 KM 270.5,LAMARQUE,RIO NEGRO,-65.69169,-39.41411
Combustibles líquidos únicamente,VOY,"EBERLE, CLAUDIO FRANCISCO",20-17963469-5,AVENIDA ALMAFUERTE Nº 5550,PARANA,ENTRE RIOS,-60.444788,-31.763794
Combustibles líquidos únicamente,YPF,OPESSA TRELEW,30-67877449-5,HIPOLITO YRIGOYEN 1730,TRELEW,CHUBUT,-65.29137,-43.26341
Duales (líquidos + GNC),AXION,GNC CICALV SRL,30-70926791-0,BLAS PARERA 1276,CASTELAR,BUENOS AIRES,-58.66408,-34.67344
Combustibles líquidos únicamente,YPF,LUIS A. CARRIZO Y CIA. S.R.L.,30-62706249-0,AV. SAN MARTIN ESQ. RUTA 9,SAN JOSE DE LA DORMIDA,CORDOBA,-63.94053,-30.35373
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,EMECO S.A.,30-68017965-0,AV. ANGEL TORCUATO DE ALVEAR 2704,DON TORCUATO,BUENOS AIRES,-58.619184,-34.487324
Combustibles líquidos únicamente,BLANCA,COOPERATIVA LA GANADERA GENERAL RAMIREZ LTDA,33-53332811-9,REP. DE ENTRE RIOS  400,GRAL. RAMIREZ,ENTRE RIOS,-60.19279,-32.16994
Combustibles líquidos únicamente,AXION,MATTEAZZI OYHENART CLAUDIA ROSANA,27-23240873-7,RUTA 152 KM 28,GRAL. ACHA,LA PAMPA,-64.600339,-37.366359
Duales (líquidos + GNC),DAPSA S.A.,AGORQUIMICOS EL DIAMANTE S.R.L.,30-64051804-5,AV. ALBERDI Nº1200,SAN RAFAEL,MENDOZA,-68.318004,-34.631909
Duales (líquidos + GNC),SHELL C.A.P.S.A.,ANJOR S.A.,30-70748118-4,JUAN B .JUSTO 3702,CORDOBA,CORDOBA,-64.175702,-31.381568
Sólo GNC,YPF,GNC DE LA COSTA S.R.L.,30-70894857-4,ALBERDI 190,SAN NICOLAS,BUENOS AIRES,-60.22303,-33.32723
Sólo GNC,BLANCA,ERGON S.A.,30-64304410-9,RUTA NAC Nº34 S/N Y RUTA 34 ANTIGUA - VILLA TULUMAYA,LAVALLE,MENDOZA,-68.610868,-32.71963
Duales (líquidos + GNC),REFINOR,MULTILUB S.R.L.,30-70716230-5,AV. EX COMBATIENTES DE MALVINAS 3987,SALTA,SALTA,-65.4331,-24.84085
Duales (líquidos + GNC),YPF,ECO MAIPU SA,30-70930024-1,mitre 538,MENDOZA,MENDOZA,-68.79003,-32.9591
Combustibles líquidos únicamente,AXION,OPERADORA COMERCIAL SA,30-70911885-0,AV. MONTEAGUDO Nº 1824,POSADAS,MISIONES,-55.89732,-27.39117
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,RUIZ BONAOARTE CESAR DANIEL,20-13372706-0,AV MITRE 1391 Y MERLO,MINA CLAVERO,CORDOBA,-65.006114,-31.726152
Duales (líquidos + GNC),SHELL C.A.P.S.A.,CONSTITUYENTES 1806 S.A.,30-70911410-3,AV.CONSTITUYENTES 1806,SAN MARTIN,BUENOS AIRES,-58.514533,-34.564332
Duales (líquidos + GNC),PUMA,CAPRI S.A.,30-70860700-9,AV.IGNACIO DE LA ROZA 5442 OESTE,RIVADAVIA,SAN JUAN,-68.59254,-31.5383
